TOURIST TYPE EN,TRIP TYPE,YEAR,DESTINATION PROVINCE NAME EN,VISITORS,SPENDS
INBOUND,Overnight,2021,Makkah,688723.39,2963870428
INBOUND,Overnight,2021,Najran,4071.62,19310817.12
INBOUND,Overnight,2021,Northern Borders,126378.03,254799868.6
INBOUND,Overnight,2021,Riyadh,1223406.44,7471705479
INBOUND,Overnight,2021,Tabuk,37558.7,221855873
INBOUND,Overnight,2022,Albaha,4167.11,8887629.59
INBOUND,Overnight,2022,Alqassim,201892.97,636473601.9
INBOUND,Overnight,2022,Aseer,74061.68,360589542.5
INBOUND,Overnight,2022,Eastern,3998326.71,9160004942
INBOUND,Overnight,2022,Hail,135821.81,378423912.4
INBOUND,Overnight,2022,Jazan,35490.93,174895449.9
INBOUND,Overnight,2022,Jouf,52424.04,170823747.6
INBOUND,Overnight,2022,Madinah,120862.85,661907260.6
INBOUND,Overnight,2022,Makkah,9412292.55,74445408365
INBOUND,Overnight,2022,Najran,7138.08,21213384.56
INBOUND,Overnight,2022,Northern Borders,598483.23,434844537.7
INBOUND,Overnight,2022,Riyadh,1910631.37,11535265204
INBOUND,Overnight,2022,Tabuk,86267.25,305847636.3
INBOUND,Overnight,2023,Albaha,16257,43307210.82
INBOUND,Overnight,2023,Alqassim,126253,288312993.5
INBOUND,Overnight,2023,Aseer,186905,823071589.7
INBOUND,Overnight,2023,Eastern,5667364,11037346612
INBOUND,Overnight,2023,Hail,357820,2273068409
INBOUND,Overnight,2023,Jazan,14850,45991851.06
INBOUND,Overnight,2023,Jouf,196708,437530491.5
INBOUND,Overnight,2023,Madinah,321068,1337479732
INBOUND,Overnight,2023,Makkah,17014574,1.11487E+11
INBOUND,Overnight,2023,Najran,17390,42210583.39
INBOUND,Overnight,2023,Northern Borders,356241,535539800.7
INBOUND,Overnight,2023,Riyadh,3010057,12541560216
INBOUND,Overnight,2023,Tabuk,138049,341320768
INBOUND,Overnight,2024,Albaha,8111,22176634.35
INBOUND,Overnight,2024,Alqassim,317380,1765418769
INBOUND,Overnight,2024,Aseer,157522,515613945.3
INBOUND,Overnight,2024,Eastern,4997672,8665550661
INBOUND,Overnight,2024,Hail,326194,1359357656
INBOUND,Overnight,2024,Jazan,13339,53446222.17
INBOUND,Overnight,2024,Jouf,330981,767945033.5
INBOUND,Overnight,2024,Madinah,438719,1842169764
INBOUND,Overnight,2024,Makkah,19570389,1.4077E+11
INBOUND,Overnight,2024,Najran,24347,56220975.08
INBOUND,Overnight,2024,Northern Borders,527985,1200179901
INBOUND,Overnight,2024,Riyadh,2860722,10573647825
INBOUND,Overnight,2024,Tabuk,154082,932180511.6
INBOUND,Overnight,2025 H1,Albaha,1978,11768746.37
INBOUND,Overnight,2025 H1,Alqassim,142078,642367846.5
INBOUND,Overnight,2025 H1,Aseer,91404,332422588
INBOUND,Overnight,2025 H1,Eastern,2027009,3393996433
INBOUND,Overnight,2025 H1,Hail,78606,157834358.8
INBOUND,Overnight,2025 H1,Jazan,1787,7376104.35
INBOUND,Overnight,2025 H1,Jouf,256406,682343522.1
INBOUND,Overnight,2025 H1,Madinah,320757,1656418037
INBOUND,Overnight,2025 H1,Makkah,10016016,78773778931
INBOUND,Overnight,2025 H1,Najran,32468,110387537.1
INBOUND,Overnight,2025 H1,Northern Borders,186105,350893164.9
INBOUND,Overnight,2025 H1,Riyadh,1035093,3560401735
INBOUND,Overnight,2025 H1,Tabuk,118194,774298191.1
