TOURIST TYPE EN,TRIP TYPE,YEAR,DESTINATION PROVINCE NAME EN,Total VISITORS Number,SPENDS by SR
DOMESTIC,Overnight,2020,Madinah,"5,610,501","4,395,709,792.71"
DOMESTIC,Overnight,2020,Makkah,"9,878,363","10,432,630,823.58"
DOMESTIC,Overnight,2020,Najran,"611,609","753,024,010.14"
DOMESTIC,Overnight,2020,Northern Borders,"706,560","869,931,837.54"
DOMESTIC,Overnight,2020,Riyadh,"6,825,500","7,493,016,852.14"
DOMESTIC,Overnight,2020,Tabuk,"2,043,129","2,765,432,421.12"
DOMESTIC,Overnight,2021,Albaha,"1,100,265","1,411,179,824.77"
DOMESTIC,Overnight,2021,Alqassim,"3,767,875","3,877,241,223.64"
DOMESTIC,Overnight,2021,Aseer,"5,268,692","8,182,991,968.69"
DOMESTIC,Overnight,2021,Eastern,"9,272,899","14,639,079,155.35"
DOMESTIC,Overnight,2021,Hail,"1,849,642","2,667,802,659.94"
DOMESTIC,Overnight,2021,Jazan,"3,278,169","3,772,891,860.15"
DOMESTIC,Overnight,2021,Jouf,"848,211","1,618,634,337.19"
DOMESTIC,Overnight,2021,Madinah,"4,364,834","5,716,938,243.79"
DOMESTIC,Overnight,2021,Makkah,"18,475,506","31,003,038,195.72"
DOMESTIC,Overnight,2021,Najran,"863,629","2,098,350,810.28"
DOMESTIC,Overnight,2021,Northern Borders,"849,661","1,801,753,096.87"
DOMESTIC,Overnight,2021,Riyadh,"11,606,337","21,108,120,205.01"
DOMESTIC,Overnight,2021,Tabuk,"2,288,178","4,286,091,441.21"
DOMESTIC,Overnight,2022,Albaha,"1,021,043","1,000,449,059.72"
DOMESTIC,Overnight,2022,Alqassim,"4,054,065","4,478,658,490.8"
DOMESTIC,Overnight,2022,Aseer,"5,971,170","7,067,865,544.61"
DOMESTIC,Overnight,2022,Eastern,"11,139,453","12,683,286,817.81"
DOMESTIC,Overnight,2022,Hail,"2,148,543","4,007,809,434.7"
DOMESTIC,Overnight,2022,Jazan,"2,487,702","2,339,047,782.3"
DOMESTIC,Overnight,2022,Jouf,"1,252,504","2,620,718,119.37"
DOMESTIC,Overnight,2022,Madinah,"6,220,574","7,571,598,445.17"
DOMESTIC,Overnight,2022,Makkah,"22,663,371","30,647,244,143.71"
DOMESTIC,Overnight,2022,Najran,"1,109,519","1,943,284,175.31"
DOMESTIC,Overnight,2022,Northern Borders,"1,014,636","2,573,839,791.53"
DOMESTIC,Overnight,2022,Riyadh,"16,143,782","24,947,077,797.58"
DOMESTIC,Overnight,2022,Tabuk,"2,610,139","5,378,336,661.97"
DOMESTIC,Overnight,2023,Albaha,"1,070,829","1,237,245,074.07"
DOMESTIC,Overnight,2023,Alqassim,"4,564,532","5,654,113,073.06"
DOMESTIC,Overnight,2023,Aseer,"6,906,088","9,534,903,826.01"
DOMESTIC,Overnight,2023,Eastern,"13,457,364","16,791,923,358.86"
DOMESTIC,Overnight,2023,Hail,"1,835,817","2,780,220,605.52"
DOMESTIC,Overnight,2023,Jazan,"2,922,882","3,715,946,034.06"
DOMESTIC,Overnight,2023,Jouf,"1,138,877","1,683,147,447.81"
DOMESTIC,Overnight,2023,Madinah,"6,003,200","6,265,363,547.75"
DOMESTIC,Overnight,2023,Makkah,"22,625,010","29,941,071,959.66"
DOMESTIC,Overnight,2023,Najran,"1,160,482","2,041,291,277.46"
DOMESTIC,Overnight,2023,Northern Borders,"1,070,445","1,984,018,846.72"
DOMESTIC,Overnight,2023,Riyadh,"16,347,778","28,575,946,725.92"
DOMESTIC,Overnight,2023,Tabuk,"2,817,058","4,201,541,773.4"
DOMESTIC,Overnight,2024,Albaha,"1,126,723","1,122,964,918.39"
DOMESTIC,Overnight,2024,Alqassim,"4,872,445","5,689,944,556.5"
DOMESTIC,Overnight,2024,Aseer,"7,333,549","8,598,518,662.6"
DOMESTIC,Overnight,2024,Eastern,"13,644,380","16,421,823,424.03"
DOMESTIC,Overnight,2024,Hail,"1,840,798","2,550,049,357.05"
DOMESTIC,Overnight,2024,Jazan,"2,936,373","2,858,261,001.24"
DOMESTIC,Overnight,2024,Jouf,"1,159,397","1,571,207,969.21"
DOMESTIC,Overnight,2024,Madinah,"6,720,888","7,474,643,865.5"
DOMESTIC,Overnight,2024,Makkah,"23,487,120","30,656,786,192.03"
DOMESTIC,Overnight,2024,Najran,"1,259,012","2,115,480,240.76"
DOMESTIC,Overnight,2024,Northern Borders,"1,089,552","1,843,303,879.12"
DOMESTIC,Overnight,2024,Riyadh,"17,596,758","29,493,025,315.83"
DOMESTIC,Overnight,2024,Tabuk,"3,090,364","4,879,766,638.46"
DOMESTIC,Overnight,2025 H1,Albaha,"588,209","487,265,963.57"
DOMESTIC,Overnight,2025 H1,Alqassim,"2,313,195","2,268,911,768.2"
DOMESTIC,Overnight,2025 H1,Aseer,"3,319,629","4,158,572,951.93"
DOMESTIC,Overnight,2025 H1,Eastern,"7,177,531","9,932,651,635.98"
DOMESTIC,Overnight,2025 H1,Hail,"1,075,733","1,304,614,286.9"
DOMESTIC,Overnight,2025 H1,Jazan,"1,603,518","1,174,740,695.22"
DOMESTIC,Overnight,2025 H1,Jouf,"631,339","819,924,854.43"
DOMESTIC,Overnight,2025 H1,Madinah,"3,688,081","4,596,871,318.4"
DOMESTIC,Overnight,2025 H1,Makkah,"14,463,795","22,976,837,150.89"
DOMESTIC,Overnight,2025 H1,Najran,"642,530","924,213,073.95"
DOMESTIC,Overnight,2025 H1,Northern Borders,"506,034","717,857,976.23"
DOMESTIC,Overnight,2025 H1,Riyadh,"9,134,202","18,996,375,424.7"
DOMESTIC,Overnight,2025 H1,Tabuk,"1,455,368","2,548,341,886.17"
